source,target,value,color
Bert Vogelstein,EnGeneIC,0.100000,Positive
Bert Vogelstein,Johns Hopkins University,0.100000,NotNegative
Nature Biotechnology,Himanshu Brahmbhatt,0.100000,NotNegative
Stephen H. Friend,Jennifer A. MacDiarmid,0.100000,Positive
Nature Biotechnology,EnGeneIC,0.100000,NotNegative
Nature Biotechnology,Jennifer A. MacDiarmid,0.100000,NotNegative
Bert Vogelstein,Himanshu Brahmbhatt,0.100000,NotNegative
Himanshu Brahmbhatt,Stephen H. Friend,0.100000,NotNegative
Stephen H. Friend,EnGeneIC,0.100000,Positive
Jennifer A. MacDiarmid,EnGeneIC,0.100000,NotNegative
Himanshu Brahmbhatt,Jennifer A. MacDiarmid,0.100000,NotNegative
Merck,Himanshu Brahmbhatt,0.100000,NotNegative
Merck,Jennifer A. MacDiarmid,0.100000,NotNegative
EnGeneIC,Bert Vogelstein,0.100000,NotNegative
Himanshu Brahmbhatt,EnGeneIC,0.100000,NotNegative
Merck,EnGeneIC,0.100000,NotNegative
Bert Vogelstein,Jennifer A. MacDiarmid,0.100000,NotNegative
Jennifer A. MacDiarmid,Himanshu Brahmbhatt,0.100000,NotNegative
Stephen H. Friend,Himanshu Brahmbhatt,0.100000,Positive
