source,target,value,color
Robert Mugabe,Janet,0.100000,NotPositive
Movement for Democratic Change,Martha,0.100000,NotNegative
Movement for Democratic Change,Robert Mugabe,0.100000,Negative
Robert Mugabe,Movement for Democratic Change,0.100000,Negative
Tsvangirai,Movement for Democratic Change,0.100000,Positive
Robert Mugabe,MDC,0.100000,Negative
Robert Mugabe,Tsvangirai,0.100000,Negative
ZANU-PF,Zimbabweans,0.100000,Positive
Janet,Movement for Democratic Change,0.100000,Positive
Tsvangirai,ZANU-PF,0.100000,Negative
Tsvangirai,Janet,0.100000,NotNegative
Robert Mugabe,ZANU-PF,0.100000,Positive
Movement for Democratic Change,ZANU-PF,0.100000,Negative
ZANU-PF,MDC,0.100000,Negative
ZANU-PF,Tsvangirai,0.100000,Negative
MDC,Martha,0.100000,NotNegative
Movement for Democratic Change,Tsvangirai,0.100000,Positive
ZANU-PF,ZIMBABWE,0.100000,Positive
Tsvangirai,Zimbabweans,0.100000,Positive
ZANU-PF,Martha,0.100000,NotPositive
Martha,ZANU-PF,0.100000,NotPositive
Janet,Tsvangirai,0.100000,Positive
Janet,MDC,0.100000,Positive
Martha,Robert Mugabe,0.100000,NotPositive
Martha,Tsvangirai,0.100000,Positive
MDC,Janet,0.100000,NotNegative
Tsvangirai,Martha,0.100000,NotNegative
Janet,ZANU-PF,0.100000,NotPositive
MDC,Tsvangirai,0.100000,Positive
Tsvangirai,MDC,0.100000,Positive
Robert Mugabe,Martha,0.100000,NotPositive
ZANU-PF,Janet,0.100000,NotPositive
Martha,Movement for Democratic Change,0.100000,Positive
Janet,Robert Mugabe,0.100000,NotPositive
ZANU-PF,Movement for Democratic Change,0.100000,Negative
MDC,Robert Mugabe,0.100000,Negative
Robert Mugabe,Zimbabweans,0.100000,Positive
MDC,ZANU-PF,0.100000,Negative
Movement for Democratic Change,Janet,0.100000,NotNegative
Tsvangirai,Robert Mugabe,0.100000,Negative
ZANU-PF,Robert Mugabe,0.100000,Positive
Martha,MDC,0.100000,Positive
Tsvangirai,ZIMBABWE,0.100000,Positive
Robert Mugabe,ZIMBABWE,0.100000,Positive
