source,target,value,color
Dai,Brunei-China,0.100000,Positive
Brunei,China,0.100000,Positive
China,Brunei,0.100000,Positive
Dai,China,0.100000,Positive
China,Brunei-China,0.100000,Positive
China,Dai,0.100000,NotNegative
Dai,Hassanal,0.100000,Positive
Brunei,Hassanal,0.100000,NotNegative
Lim Jock Seng,Dai,0.100000,NotNegative
Hassanal,Brunei,0.100000,Positive
Brunei,Brunei-China,0.100000,Positive
Brunei-China,Brunei,0.100000,NotNegative
Hassanal,China,0.100000,Positive
Mohamed Bolkiah,Brunei,0.100000,Positive
Dai,Lim Jock Seng,0.100000,NotNegative
Brunei,Dai,0.100000,NotNegative
Brunei-China,China,0.100000,NotNegative
China,Hassanal,0.100000,NotNegative
Dai,Mohamed Bolkiah,0.100000,NotNegative
Hassanal,Brunei-China,0.100000,Positive
Brunei,Mohamed Bolkiah,0.100000,NotNegative
Mohamed Bolkiah,Dai,0.100000,NotNegative
Hassanal,Dai,0.100000,Positive
Dai,Brunei,0.100000,Positive
