source,target,value,color
American,U.S. Embassy,0.100000,NotNegative
Zeltser,U.S. Embassy,0.100000,NotNegative
U.S. State Department,Kelly,0.100000,NotNegative
Washington,U.S. State Department,0.100000,NotNegative
Alexander Lukashenko,Belarus,0.100000,Positive
Kelly,American,0.100000,NotNegative
U.S. Embassy,American,0.100000,NotNegative
Kelly,U.S. State Department,0.100000,Positive
Belarus,Alexander Lukashenko,0.100000,NotNegative
Belarus,Zeltser,0.100000,NotPositive
Kelly,Washington,0.100000,NotNegative
U.S. Embassy,Zeltser,0.100000,NotNegative
Zeltser,Belarus,0.100000,NotPositive
U.S. State Department,Washington,0.100000,NotNegative
Kelly,Zeltser,0.100000,NotNegative
