source,target,value,color
Fred Wertheimer,Nixon,0.100000,NotPositive
Fred Wertheimer,Phillips Petroleum,0.100000,NotPositive
Nixon,Fred Wertheimer,0.100000,NotPositive
Rose Mary Woods,Nixon,0.100000,Positive
Nixon,Rose Mary Woods,0.100000,NotNegative
Fred Wertheimer,William Keeler,0.100000,NotPositive
Fred Wertheimer,Rose Mary Woods,0.100000,NotPositive
William Keeler,Nixon,0.100000,NotNegative
Nixon,Committee,0.100000,NotNegative
Rose Mary Woods,Committee,0.100000,NotNegative
Committee,Nixon,0.100000,Positive
Rose Mary Woods,Fred Wertheimer,0.100000,NotPositive
Phillips Petroleum,Fred Wertheimer,0.100000,NotPositive
Nixon,William Keeler,0.100000,NotNegative
William Keeler,Phillips Petroleum,0.100000,Positive
Fred Wertheimer,Committee,0.100000,NotPositive
William Keeler,Fred Wertheimer,0.100000,NotPositive
Nixon,Phillips Petroleum,0.100000,NotNegative
Committee,Fred Wertheimer,0.100000,Negative
Phillips Petroleum,Nixon,0.100000,NotNegative
Committee,Rose Mary Woods,0.100000,NotNegative
Phillips Petroleum,William Keeler,0.100000,NotNegative
