source,target,value,color
Tobin,Canada,0.100000,Positive
Jean Chretien,Tobin,0.100000,NotPositive
Osama bin Laden,al-Qaeda,0.100000,Positive
Osama bin Laden,U.S.,0.100000,Negative
John Manley,Canada,0.100000,Positive
Daily Press,U.S.,0.100000,Positive
U.S.,al-Qaeda,0.100000,Negative
al-Qaeda,U.S.,0.100000,NotPositive
Tobin,Jean Chretien,0.100000,NotPositive
Jean Chretien,Canada,0.100000,Positive
John Manley,Jean Chretien,0.100000,Positive
al-Qaeda,Guantanamo Bay,0.100000,NotPositive
Osama bin Laden,United Nations,0.100000,Negative
Daily Press,Guantanamo Bay,0.100000,NotNegative
al-Qaeda,Osama bin Laden,0.100000,Positive
Jean Chretien,John Manley,0.100000,Positive
Tobin,John Manley,0.100000,NotPositive
Sudbury Star,al-Qaeda,0.100000,NotPositive
U.S.,Osama bin Laden,0.100000,Negative
Sudbury Star,Osama bin Laden,0.100000,NotPositive
Sudbury Star,United Nations,0.100000,NotNegative
Sudbury Star,Guantanamo Bay,0.100000,Negative
