source,target,value,color
Jakarta,Dino,0.100000,NotNegative
Yudhoyono,Obama,0.100000,Positive
Obama,Dino,0.100000,NotNegative
Dino,Obama,0.100000,Positive
Ann Dunham,Obama,0.100000,Positive
Obama,Ann Dunham,0.100000,Positive
Indonesia,U.S.,0.100000,NotNegative
Jakarta,Yudhoyono,0.100000,NotNegative
Yudhoyono,U.S.,0.100000,NotNegative
Yudhoyono,Dino,0.100000,NotNegative
Dino,U.S.,0.100000,Positive
Obama,U.S.,0.100000,Positive
Indonesia,Obama,0.100000,Positive
U.S.,Obama,0.100000,NotNegative
Jakarta,Obama,0.100000,Positive
Indonesia,Yudhoyono,0.100000,NotNegative
Yudhoyono,Indonesia,0.100000,Positive
Dino,Indonesia,0.100000,Positive
Obama,Yudhoyono,0.100000,NotNegative
Yudhoyono,Jakarta,0.100000,NotNegative
Obama,Jakarta,0.100000,NotNegative
Dino,Jakarta,0.100000,NotNegative
Dino,Yudhoyono,0.100000,Positive
Obama,Indonesia,0.100000,NotNegative
Jakarta,U.S.,0.100000,NotNegative
Indonesia,Dino,0.100000,NotNegative
