source,target,value,color
Phillies,Houston Astros,0.100000,NotPositive
Lance Berkman,Phillies,0.100000,NotPositive
Martinez,Lidge,0.100000,NotNegative
Lidge,Lance Berkman,0.100000,NotPositive
Lance Berkman,Houston Astros,0.100000,NotNegative
Phillies,National League East,0.100000,Positive
Citizens Bank Park,Lidge,0.100000,Positive
Phillies,Lance Berkman,0.100000,NotPositive
Lance Berkman,Lidge,0.100000,NotPositive
Lidge,Charlie,0.100000,Positive
Martinez,Phillies,0.100000,NotNegative
Houston Astros,Charlie,0.100000,NotPositive
Phillies,Charlie,0.100000,Positive
Lidge,Martinez,0.100000,NotNegative
Lidge,Phillies,0.100000,Positive
Houston Astros,Lidge,0.100000,NotPositive
Charlie,Lidge,0.100000,Positive
Lidge,Citizens Bank Park,0.100000,Positive
Phillies,World Series championship,0.100000,Positive
Lidge,National League East,0.100000,Positive
Lidge,Houston Astros,0.100000,NotPositive
Charlie,Phillies,0.100000,NotNegative
Lidge,World Series championship,0.100000,Positive
Phillies,Lidge,0.100000,Positive
