source,target,value,color
Japan,Korea,0.100000,NotPositive
Democratic People 's Republic of Korea,Japan,0.100000,Negative
Japan,DPRK,0.100000,NotPositive
DPRK,Korea,0.100000,NotNegative
Korea,Democratic People 's Republic of Korea,0.100000,NotNegative
Japan,Allies in World War II,0.100000,NotPositive
DPRK,Japan,0.100000,Negative
Japan,Central Committee of the Democratic Front for the Reunification of Korea,0.100000,NotPositive
Allies in World War II,Japan,0.100000,NotPositive
KCNA,Korea,0.100000,NotNegative
Ito Hirobumi,Japan,0.100000,NotNegative
Central Committee of the Democratic Front for the Reunification of Korea,Korea,0.100000,NotNegative
Korea,Japan,0.100000,Negative
Korea,DPRK,0.100000,NotNegative
Japan,KCNA,0.100000,NotPositive
Central Committee of the Democratic Front for the Reunification of Korea,Japan,0.100000,Negative
KCNA,Korea-Japan Annexation Treaty,0.100000,NotPositive
Korea,Ito Hirobumi,0.100000,NotPositive
Korea,KCNA,0.100000,NotNegative
Democratic People 's Republic of Korea,Korea,0.100000,NotNegative
Japan,Democratic People 's Republic of Korea,0.100000,NotPositive
KCNA,Japan,0.100000,Negative
Korea,Korea-Japan Annexation Treaty,0.100000,Negative
