source,target,value,color
China,House,0.100000,Negative
House,Beijing,0.100000,NotPositive
Qin,Falungong,0.100000,Negative
Qin,China,0.100000,Positive
Falungong,Confucian,0.100000,NotNegative
House,Falungong,0.100000,NotNegative
Beijing,US,0.100000,NotPositive
Confucian,Buddhist,0.100000,NotNegative
Qin,House,0.100000,NotPositive
China,Falungong,0.100000,Negative
Falungong,US,0.100000,Positive
Falungong,Beijing,0.100000,Negative
Taoist,Buddhist,0.100000,NotNegative
China,US,0.100000,Negative
Taoist,Confucian,0.100000,NotNegative
Buddhist,Taoist,0.100000,NotNegative
Falungong,Qin,0.100000,Negative
House,Qin,0.100000,Negative
Confucian,Taoist,0.100000,NotNegative
Falungong,House,0.100000,Positive
Falungong,Taoist,0.100000,NotNegative
Qin,US,0.100000,NotPositive
Falungong,China,0.100000,Negative
China,Qin,0.100000,NotNegative
Buddhist,Confucian,0.100000,NotNegative
Falungong,Buddhist,0.100000,NotNegative
House,China,0.100000,NotPositive
Beijing,Falungong,0.100000,Negative
