source,target,value,color
Franklin,Cox Media Group,0.100000,NotNegative
Joseph,Atlanta Journal-Constitution,0.100000,Positive
Joseph,AJC,0.100000,NotNegative
Cox Media Group,Franklin,0.100000,NotNegative
AJC,Mike,0.100000,Positive
Mike,Atlanta Journal-Constitution,0.100000,NotNegative
AJC,Joseph,0.100000,NotNegative
Mike,AJC,0.100000,NotNegative
Atlanta Journal-Constitution,Joseph,0.100000,NotNegative
Atlanta Journal-Constitution,Mike,0.100000,Positive
Franklin,Joseph,0.100000,NotNegative
Franklin,Mike,0.100000,Positive
