source,target,value,color
Law SB1070,Congress,0.100000,Positive
Honduran,Arizona,0.100000,Negative
Law SB1070,United States,0.100000,NotNegative
Honduran,Barack Obama,0.100000,NotNegative
Congress,Honduran,0.100000,NotPositive
Law SB1070,Jan Brewer,0.100000,NotNegative
Honduran,Congress,0.100000,Negative
Barack Obama,Law SB1070,0.100000,Negative
Barack Obama,Honduran,0.100000,NotNegative
Barack Obama,Jan Brewer,0.100000,NotPositive
Law SB1070,Arizona,0.100000,NotNegative
Arizona,Honduran,0.100000,Negative
Arizona,Jan Brewer,0.100000,NotNegative
Jan Brewer,Arizona,0.100000,Positive
Jan Brewer,Honduran,0.100000,NotPositive
Law SB1070,Barack Obama,0.100000,NotPositive
Law SB1070,Honduran,0.100000,Negative
Barack Obama,United States,0.100000,Positive
Honduran,Jan Brewer,0.100000,Negative
Honduran,Law SB1070,0.100000,Negative
Jan Brewer,Congress,0.100000,NotNegative
Jan Brewer,Law SB1070,0.100000,Positive
