source,target,value,color
Kazimierz Nycz,Mass.,0.100000,Positive
Polish-born,John Paul II,0.100000,NotNegative
Kazimierz Nycz,Warsaw,0.100000,Positive
Hanna Gronkiewicz-Waltz,Solidarity,0.100000,Positive
Solidarity,John Paul II,0.100000,Positive
Mass.,Solidarity,0.100000,Positive
Warsaw,Kazimierz Nycz,0.100000,NotNegative
Kazimierz Nycz,Poland,0.100000,Positive
Hanna Gronkiewicz-Waltz,Mass.,0.100000,NotNegative
Polish-born,Mass.,0.100000,Positive
Kazimierz Nycz,Polish-born,0.100000,Positive
Poland,John Paul II,0.100000,Positive
Warsaw,Solidarity,0.100000,Positive
Poland,Kazimierz Nycz,0.100000,NotNegative
Mass.,Poland,0.100000,Positive
John Paul II,Solidarity,0.100000,Positive
Mass.,John Paul II,0.100000,Positive
Hanna Gronkiewicz-Waltz,Warsaw,0.100000,Positive
Kazimierz Nycz,Hanna Gronkiewicz-Waltz,0.100000,NotNegative
Poland,Solidarity,0.100000,Positive
John Paul II,Mass.,0.100000,Positive
Mass.,Polish-born,0.100000,Positive
Polish-born,Solidarity,0.100000,Positive
John Paul II,Poland,0.100000,Positive
Polish-born,Warsaw,0.100000,NotNegative
Kazimierz Nycz,John Paul II,0.100000,Positive
Warsaw,Poland,0.100000,NotNegative
Warsaw,John Paul II,0.100000,Positive
Warsaw,Hanna Gronkiewicz-Waltz,0.100000,NotNegative
Poland,Warsaw,0.100000,Positive
Kazimierz Nycz,Solidarity,0.100000,Positive
Hanna Gronkiewicz-Waltz,Polish-born,0.100000,Positive
John Paul II,Warsaw,0.100000,Positive
Warsaw,Mass.,0.100000,Positive
Warsaw,Polish-born,0.100000,NotNegative
Hanna Gronkiewicz-Waltz,Poland,0.100000,Positive
Poland,Mass.,0.100000,Positive
Solidarity,Mass.,0.100000,Positive
Hanna Gronkiewicz-Waltz,John Paul II,0.100000,Positive
Mass.,Warsaw,0.100000,Positive
