source,target,value,color
Todt,FIA,0.100000,NotNegative
Mosley,FIA,0.100000,Positive
World Motor Sport Council,Todt,0.100000,Positive
Ecclestone,Ari Vatanen,0.100000,NotPositive
FIA,Todt,0.100000,Positive
Ari Vatanen,Mosley,0.100000,NotPositive
Todt,Mosley,0.100000,Positive
Todt,Ferrari,0.100000,NotNegative
Todt,Ecclestone,0.100000,Positive
Todt,Ari Vatanen,0.100000,Negative
Ecclestone,FIA,0.100000,Positive
Mosley,Ecclestone,0.100000,NotNegative
Mosley,Ari Vatanen,0.100000,NotPositive
Ecclestone,Todt,0.100000,Positive
FIA,Ecclestone,0.100000,Positive
Todt,World Motor Sport Council,0.100000,Positive
Mosley,Todt,0.100000,Positive
FIA,Mosley,0.100000,Positive
Ari Vatanen,Ecclestone,0.100000,NotPositive
Ari Vatanen,Todt,0.100000,Negative
Mosley,World Motor Sport Council,0.100000,NotNegative
Ferrari,Todt,0.100000,Positive
