source,target,value,color
Venezuela,United States,0.100000,NotNegative
Jimmy Carter,Chavez,0.100000,NotNegative
Venezuela,Chavez,0.100000,NotNegative
Chavez,United States,0.100000,NotNegative
Brasilia,Agencia Brasil,0.100000,NotNegative
Cardoso,Chavez,0.100000,NotNegative
Chavez,Venezuela,0.100000,NotNegative
Venezuela,Cardoso,0.100000,NotNegative
Jimmy Carter,Venezuela,0.100000,Positive
Venezuela,Jimmy Carter,0.100000,NotNegative
Chavez,Jimmy Carter,0.100000,NotNegative
Jimmy Carter,United States,0.100000,Positive
Chavez,Cardoso,0.100000,NotNegative
Cardoso,Venezuela,0.100000,Positive
Agencia Brasil,Brasilia,0.100000,NotNegative
