source,target,value,color
Libya,Abu Salim,0.100000,NotPositive
UN Human Rights Council,Libya,0.100000,Negative
Egypt,Human Rights Watch,0.100000,NotPositive
UN Human Rights Council,Egypt,0.100000,Negative
Human Rights Watch,Whitson,0.100000,Positive
Human Rights Watch,Libya,0.100000,Negative
Libya,Whitson,0.100000,NotPositive
Whitson,Human Rights Watch,0.100000,Positive
Libya,UN Human Rights Council,0.100000,NotPositive
Egypt,Whitson,0.100000,NotPositive
Whitson,Libya,0.100000,Negative
Egypt,UN Human Rights Council,0.100000,NotPositive
UN Human Rights Council,Whitson,0.100000,NotNegative
Whitson,Egypt,0.100000,Negative
Human Rights Watch,Egypt,0.100000,Negative
Whitson,UN Human Rights Council,0.100000,Positive
Libya,Human Rights Watch,0.100000,NotPositive
