source,target,value,color
Musyoka,Sino-Kenyan,0.100000,NotNegative
Sino-Kenyan,African,0.100000,Positive
one-China,Musyoka,0.100000,NotNegative
Chinese People 's Political Consultative Conference National Committee,Political Bureau of the CPC Central Committee,0.100000,NotNegative
Wang,Chinese People 's Political Consultative Conference National Committee,0.100000,Positive
Musyoka,African,0.100000,Positive
Musyoka,Kenya,0.100000,Positive
Musyoka,Wang,0.100000,Positive
Wang,Political Bureau of the CPC Central Committee,0.100000,Positive
African,China,0.100000,Positive
Kenya,China,0.100000,Positive
Political Bureau of the CPC Central Committee,Wang,0.100000,Positive
Musyoka,China,0.100000,Positive
Kenya,Musyoka,0.100000,Positive
Chinese People 's Political Consultative Conference National Committee,Wang,0.100000,Positive
China,Musyoka,0.100000,NotNegative
China,Sino-Kenyan,0.100000,NotNegative
China,Kenya,0.100000,Positive
Kenya,one-China,0.100000,Positive
China,African,0.100000,Positive
Kenya,Sino-Kenyan,0.100000,Positive
Political Bureau of the CPC Central Committee,Kenya,0.100000,NotNegative
Kenya,Wang,0.100000,NotNegative
Political Bureau of the CPC Central Committee,China,0.100000,NotNegative
Chinese People 's Political Consultative Conference National Committee,China,0.100000,NotNegative
China,one-China,0.100000,Positive
one-China,Chinese People 's Political Consultative Conference National Committee,0.100000,NotNegative
Sino-Kenyan,China,0.100000,Positive
Musyoka,one-China,0.100000,NotNegative
China,Wang,0.100000,Positive
African,one-China,0.100000,NotNegative
Wang,one-China,0.100000,NotNegative
Sino-Kenyan,Kenya,0.100000,Positive
Wang,China,0.100000,Positive
China,Chinese People 's Political Consultative Conference National Committee,0.100000,Positive
Wang,Kenya,0.100000,Positive
one-China,Kenya,0.100000,NotNegative
Wang,Sino-Kenyan,0.100000,Positive
Wang,Musyoka,0.100000,Positive
