source,target,value,color
Norwegian,Ramin Mehmanparast,0.100000,NotPositive
Foreign Ministry,Ramin Mehmanparast,0.100000,NotNegative
Nobel Peace Prize,Ebadi,0.100000,Positive
Iran,Norwegian,0.100000,NotPositive
Ramin Mehmanparast,Iran,0.100000,NotNegative
Iran,Ebadi,0.100000,Negative
Ramin Mehmanparast,Norwegian,0.100000,NotPositive
Ramin Mehmanparast,Foreign Ministry,0.100000,Positive
Iran,Ramin Mehmanparast,0.100000,NotNegative
Ebadi,Iran,0.100000,Negative
Ebadi,Norwegian,0.100000,NotNegative
Ramin Mehmanparast,Ebadi,0.100000,NotPositive
Norwegian,Iran,0.100000,NotPositive
Ebadi,Ramin Mehmanparast,0.100000,NotPositive
Ebadi,Nobel Peace Prize,0.100000,Positive
Norwegian,Ebadi,0.100000,NotNegative
