source,target,value,color
Foreign Ministry,US,0.100000,NotPositive
Lebanon,US,0.100000,NotPositive
Foreign Ministry,Naji Abi Assi,0.100000,Positive
State Department,Lebanon,0.100000,NotPositive
Carol Kalin,US Embassy,0.100000,Positive
US,Lebanon,0.100000,NotPositive
Foreign Ministry,State Department,0.100000,NotPositive
Carol Kalin,US,0.100000,NotNegative
Lebanon,State Department,0.100000,NotPositive
Naji Abi Assi,US,0.100000,NotPositive
Naji Abi Assi,State Department,0.100000,NotPositive
State Department,US,0.100000,Positive
US Embassy,Carol Kalin,0.100000,Positive
Naji Abi Assi,Foreign Ministry,0.100000,Positive
