source,target,value,color
US,Kyrgyzstan,0.100000,NotNegative
Craner,Uzbekistan,0.100000,NotNegative
Craner,Washington,0.100000,NotNegative
Washington,India,0.100000,NotPositive
Turkey,Congress,0.100000,NotNegative
Washington,Country Reports on Human Rights Practices,0.100000,NotNegative
Washington,Lorne Cramer,0.100000,NotNegative
Congress,Uzbekistan,0.100000,NotNegative
Lorne Cramer,US,0.100000,Positive
Egypt,US,0.100000,NotNegative
Craner,US,0.100000,Positive
Craner,Kyrgyzstan,0.100000,NotNegative
Turkey,US,0.100000,NotNegative
Lorne Cramer,Congress,0.100000,NotNegative
US,Country Reports on Human Rights Practices,0.100000,NotNegative
Washington,Uzbekistan,0.100000,NotNegative
Congress,India,0.100000,NotPositive
Congress,Egypt,0.100000,NotNegative
Washington,Craner,0.100000,NotNegative
Lorne Cramer,Washington,0.100000,NotNegative
India,Congress,0.100000,NotPositive
US,Lorne Cramer,0.100000,NotNegative
Congress,Kyrgyzstan,0.100000,NotNegative
Lorne Cramer,Kyrgyzstan,0.100000,NotNegative
US,India,0.100000,NotPositive
Kyrgyzstan,US,0.100000,NotNegative
US,Egypt,0.100000,NotNegative
Congress,Country Reports on Human Rights Practices,0.100000,Positive
Turkey,Washington,0.100000,NotNegative
US,Uzbekistan,0.100000,NotNegative
Washington,Kyrgyzstan,0.100000,NotNegative
Washington,Turkey,0.100000,NotNegative
Craner,Country Reports on Human Rights Practices,0.100000,NotNegative
Egypt,Country Reports on Human Rights Practices,0.100000,NotNegative
Turkey,Country Reports on Human Rights Practices,0.100000,NotNegative
India,Country Reports on Human Rights Practices,0.100000,NotPositive
US,Turkey,0.100000,NotNegative
Washington,Egypt,0.100000,NotNegative
Egypt,Washington,0.100000,NotNegative
Congress,Turkey,0.100000,NotNegative
Lorne Cramer,Country Reports on Human Rights Practices,0.100000,NotNegative
Egypt,Congress,0.100000,NotNegative
US,Craner,0.100000,NotNegative
Lorne Cramer,Uzbekistan,0.100000,NotNegative
Craner,Congress,0.100000,NotNegative
