source,target,value,color
American Family Association,Walker,0.100000,Negative
Walker,Thomasson,0.100000,NotPositive
Walker,American Family Association,0.100000,NotPositive
Thomasson,Campaign for Children and Families,0.100000,Positive
American Family Association,California 's Supreme Court,0.100000,NotPositive
Walker,Campaign for Children and Families,0.100000,NotPositive
Thomasson,Walker,0.100000,Negative
Walker,Tim Wildmon,0.100000,NotPositive
Campaign for Children and Families,Thomasson,0.100000,NotNegative
Campaign for Children and Families,Walker,0.100000,Negative
Tim Wildmon,American Family Association,0.100000,Positive
Tim Wildmon,Walker,0.100000,Negative
American Family Association,Tim Wildmon,0.100000,NotNegative
