source,target,value,color
Brazil,Lula,0.100000,NotNegative
Paraguayan,Lugo,0.100000,NotNegative
Lula,Itaipu,0.100000,NotNegative
Brazil,Lugo,0.100000,NotNegative
Lugo,Paraguay,0.100000,Positive
Brazil,Paraguayan,0.100000,NotNegative
Brazil,Itaipu,0.100000,NotNegative
Brazil,Paraguay,0.100000,NotNegative
Lugo,Paraguayan,0.100000,Positive
Paraguay,Brazil,0.100000,NotNegative
Lula,Brazil,0.100000,Positive
Lula,Paraguay,0.100000,Positive
Lula,Paraguayan,0.100000,Positive
Lugo,Lula,0.100000,NotNegative
Lugo,Brazil,0.100000,NotNegative
Paraguay,Lugo,0.100000,NotNegative
Lula,Lugo,0.100000,Positive
Paraguay,Lula,0.100000,NotNegative
