source,target,value,color
Liu,China,0.100000,Positive
LPRP,Khamtai,0.100000,NotNegative
Liu,CPC,0.100000,Positive
China,CPC,0.100000,NotNegative
China,Liu,0.100000,NotNegative
CPC,Liu,0.100000,NotNegative
Khamtai,Laos,0.100000,Positive
Liu,Communist Party of China,0.100000,Positive
Khamtai,LPRP,0.100000,Positive
China,Laos,0.100000,Positive
CPC,China,0.100000,NotNegative
Communist Party of China,China,0.100000,NotNegative
Liu,Laos,0.100000,NotNegative
Khamtai,China,0.100000,Positive
Communist Party of China,Liu,0.100000,NotNegative
Laos,China,0.100000,Positive
Laos,Khamtai,0.100000,NotNegative
Laos,LPRP,0.100000,NotNegative
China,Communist Party of China,0.100000,NotNegative
