source,target,value,color
Foreign Office,Status of Women,0.100000,NotNegative
Permanent Commission,Status of Women,0.100000,Positive
Pakistan,Foreign Office,0.100000,Positive
US,US State Department,0.100000,Positive
Status of Women,Permanent Commission,0.100000,NotNegative
US State Department,US,0.100000,Positive
Foreign Office,Pakistan,0.100000,Positive
Pakistan,Status of Women,0.100000,NotNegative
Pakistan,Permanent Commission,0.100000,NotNegative
US State Department,Foreign Office,0.100000,NotPositive
Foreign Office,Permanent Commission,0.100000,NotNegative
US,Foreign Office,0.100000,NotPositive
Foreign Office,US,0.100000,NotPositive
US State Department,Pakistan,0.100000,Negative
Foreign Office,US State Department,0.100000,NotPositive
Pakistan,US,0.100000,NotPositive
US,Pakistan,0.100000,Negative
Pakistan,ISLAMABAD,0.100000,NotNegative
Pakistan,US State Department,0.100000,Negative
